Order ID,Order Date,Segment,Region,Category,Sub-Category,Quantity,Unit Price,Discount,Sales,Profit
ORD-00015,2024-01-01,Home Office,Central,Furniture,Chairs,5,375.89,0,1879.45,563.84
ORD-00046,2024-01-01,Consumer,Central,Technology,Accessories,8,77.77,0.2,497.73,12.45
ORD-00338,2024-01-01,Consumer,Volga,Office Supplies,Binders,3,10.5,0.3,22.05,4.72
ORD-00500,2024-01-01,Home Office,Central,Office Supplies,Binders,8,10.57,0.1,76.1,29.59
ORD-00601,2024-01-01,Consumer,Northwest,Office Supplies,Art,7,35.63,0.1,224.47,87.29
ORD-02563,2024-01-01,Corporate,Central,Office Supplies,Binders,6,4.45,0,26.7,12.01
ORD-01939,2024-01-02,Consumer,Central,Office Supplies,Paper,2,39.34,0,78.68,35.41
ORD-02627,2024-01-02,Corporate,Central,Technology,Accessories,2,76.07,0,152.14,33.47
ORD-02930,2024-01-02,Home Office,Central,Technology,Laptops,6,731.39,0,4388.34,965.43
ORD-01691,2024-01-03,Corporate,Central,Office Supplies,Art,6,25.96,0,155.76,70.09
ORD-02319,2024-01-03,Consumer,Central,Furniture,Bookcases,1,396.49,0,396.49,118.95
ORD-02446,2024-01-03,Consumer,Northwest,Office Supplies,Binders,2,19.48,0.2,31.17,9.74
ORD-01250,2024-01-04,Consumer,Siberia,Furniture,Chairs,2,176.09,0.1,316.96,70.43
ORD-01468,2024-01-04,Corporate,Central,Office Supplies,Binders,2,4.1,0.1,7.38,2.87
ORD-01734,2024-01-04,Home Office,Central,Office Supplies,Paper,7,39.36,0,275.52,123.98
ORD-01920,2024-01-04,Home Office,Central,Office Supplies,Paper,7,21.0,0,147.0,66.15
ORD-02610,2024-01-05,Consumer,Volga,Office Supplies,Paper,2,15.13,0,30.26,13.62
ORD-00958,2024-01-06,Corporate,Central,Office Supplies,Paper,4,6.37,0.2,20.38,6.37
ORD-01232,2024-01-06,Consumer,Central,Technology,Phones,6,783.96,0,4703.76,1034.83
ORD-01723,2024-01-06,Home Office,Volga,Office Supplies,Binders,4,10.54,0.1,37.94,14.75
ORD-01971,2024-01-06,Home Office,Central,Office Supplies,Art,4,34.54,0,138.16,62.17
ORD-02388,2024-01-06,Corporate,Volga,Furniture,Bookcases,2,358.6,0,717.2,215.16
ORD-02426,2024-01-06,Consumer,Northwest,Furniture,Bookcases,2,112.01,0.3,156.81,-0.0
ORD-00003,2024-01-07,Consumer,Siberia,Technology,Monitors,3,283.32,0,849.96,186.99
ORD-00795,2024-01-07,Corporate,Central,Office Supplies,Pens,3,7.16,0,21.48,9.67
ORD-01671,2024-01-07,Corporate,Central,Furniture,Tables,6,746.79,0,4480.74,1344.22
ORD-01792,2024-01-07,Consumer,South,Technology,Accessories,4,65.29,0.1,235.04,31.34
ORD-00976,2024-01-08,Consumer,Northwest,Office Supplies,Pens,1,6.4,0.1,5.76,2.24
ORD-01303,2024-01-08,Corporate,Northwest,Office Supplies,Art,8,53.09,0.3,297.3,63.7
ORD-02276,2024-01-08,Home Office,Central,Technology,Phones,6,906.36,0.3,3806.71,-435.05
ORD-02838,2024-01-08,Corporate,South,Technology,Monitors,2,288.5,0,577.0,126.94
ORD-01975,2024-01-09,Home Office,Central,Technology,Accessories,3,62.75,0,188.25,41.41
ORD-02055,2024-01-09,Consumer,South,Furniture,Tables,8,546.76,0.1,3936.67,874.81
ORD-02062,2024-01-09,Corporate,Volga,Office Supplies,Art,3,14.71,0,44.13,19.86
ORD-02705,2024-01-09,Consumer,Volga,Technology,Phones,3,343.24,0.2,823.78,20.6
ORD-02271,2024-01-10,Consumer,Central,Technology,Monitors,6,283.55,0.1,1531.17,204.16
ORD-00752,2024-01-11,Corporate,Northwest,Office Supplies,Art,7,43.72,0.2,244.83,76.51
ORD-00975,2024-01-11,Consumer,Central,Furniture,Tables,2,509.74,0.1,917.53,203.89
ORD-01430,2024-01-11,Consumer,South,Furniture,Storage,4,73.51,0,294.04,88.21
ORD-01986,2024-01-11,Corporate,Central,Office Supplies,Paper,4,9.47,0,37.88,17.05
ORD-02079,2024-01-11,Consumer,Volga,Furniture,Storage,6,198.51,0.3,833.74,-0.0
ORD-00309,2024-01-12,Consumer,Volga,Office Supplies,Pens,3,5.01,0.2,12.02,3.75
ORD-01274,2024-01-12,Corporate,Northwest,Office Supplies,Art,1,29.97,0,29.97,13.49
ORD-01511,2024-01-12,Consumer,Central,Office Supplies,Pens,3,10.01,0,30.03,13.51
ORD-02370,2024-01-12,Consumer,Central,Technology,Phones,7,927.75,0,6494.25,1428.73
ORD-02989,2024-01-12,Corporate,Central,Furniture,Storage,8,279.23,0.1,2010.46,446.77
ORD-02097,2024-01-13,Corporate,South,Technology,Laptops,6,515.49,0.1,2783.65,371.16
ORD-02681,2024-01-13,Consumer,Central,Furniture,Tables,7,653.18,0,4572.26,1371.68
ORD-01227,2024-01-14,Consumer,Volga,Office Supplies,Binders,2,7.34,0,14.68,6.61
